name,number,old_price,sale_price,url
Ribbed Top,67941,$29.99,$14.99,http://www.hm.com/us/product/67941?article=67941-A
Jersey Top,49630,$14.99,$9.99,http://www.hm.com/us/product/49630?article=49630-F
Mock-turtleneck Bodysuit,62963,$14.99,$7.99,http://www.hm.com/us/product/62963?article=62963-B
Top with Lacing,59316,$24.99,$12.99,http://www.hm.com/us/product/59316?article=59316-B
Camisole Top with Mesh Detail,62288,$17.99,$12.99,http://www.hm.com/us/product/62288?article=62288-B
Ribbed Camisole Top,66728,$12.99,$5.99,http://www.hm.com/us/product/66728?article=66728-B
Sequined Bustier,58123,$39.99,$17.99,http://www.hm.com/us/product/58123?article=58123-A
Mock-turtleneck Top,55410,$17.99,$9.99,http://www.hm.com/us/product/55410?article=55410-D
Sleeveless Jersey Top,42288,$24.99,$12.99,http://www.hm.com/us/product/42288?article=42288-B
Wide-cut Camisole Top,68459,$14.99,$9.99,http://www.hm.com/us/product/68459?article=68459-I
Crushed-velvet Top,70150,$14.99,$9.99,http://www.hm.com/us/product/70150?article=70150-B
Long-sleeved Lace Top,66546,$34.99,$19.99,http://www.hm.com/us/product/66546?article=66546-A
Short-sleeved Top,62216,$12.99,$5.99,http://www.hm.com/us/product/62216?article=62216-B
Jersey Top,39799,$14.99,$7.99,http://www.hm.com/us/product/39799?article=39799-D
Jersey Top,34980,$12.99,$7.99,http://www.hm.com/us/product/34980?article=34980-A
T-shirt with Printed Design,65389,$14.99,$9.99,http://www.hm.com/us/product/65389?article=65389-E
Short Top,69673,$34.99,$17.99,http://www.hm.com/us/product/69673?article=69673-A
Tank Top with Ties,63091,$24.99,$14.99,http://www.hm.com/us/product/63091?article=63091-A
Jersey Top,58380,$14.99,$9.99,http://www.hm.com/us/product/58380?article=58380-A
V-neck Jersey Top,65256,$14.99,$9.99,http://www.hm.com/us/product/65256?article=65256-C
Jersey Top,64688,$12.99,$5.99,http://www.hm.com/us/product/64688?article=64688-B
Sequin-embroidered Bustier,60536,$34.99,$17.99,http://www.hm.com/us/product/60536?article=60536-A
Chiffon Top,82397,$39.99,$14.99,http://www.hm.com/us/product/82397?article=82397-A
Top with Lace,68451,$24.99,$12.99,http://www.hm.com/us/product/68451?article=68451-D
Ribbed Top,57946,$34.99,$14.99,http://www.hm.com/us/product/57946?article=57946-C
Ruffled Top,67573,$17.99,$9.99,http://www.hm.com/us/product/67573?article=67573-A
Ribbed Top,56526,$14.99,$9.99,http://www.hm.com/us/product/56526?article=56526-B
